,indist_acc,hf_acc,gap_acc_pts,indist_recall,hf_recall,gap_recall_pts,hf_fnr,abstract_acc
deberta-v3,0.9968623935454952,0.4411366711772665,55.57257223682287,0.9982070820259972,0.8265847819298429,17.16223000961543,0.1734152180701571,0.5
roberta,0.9982070820259972,0.3948162797959821,60.33908022300151,0.9991035410129988,0.7450817112522119,25.40218297607869,0.254918288747788,0.5032894736842105
electra,0.996638278798745,0.3683772249401478,62.82610538585972,0.997310623038996,0.6791922556469241,31.811836739207187,0.3208077443530759,0.5197368421052632
distilbert,0.9948453608247424,0.3551576975122306,63.96876633125118,0.9955177050649932,0.6987613198709275,29.675638519406565,0.3012386801290725,0.5
bert,0.9952935903182428,0.3465181638388674,64.87754264793755,0.9923800986104886,0.5187883834703861,47.35917151401024,0.4812116165296138,0.5164473684210527
