fold,topic,n_test,accuracy,recall,roc_auc,fpr,length_only,tfidf,margin_pts
0,Distance learning,4314,0.9879462216040796,0.9870190078813168,0.9984699039192512,0.0111265646731571,0.7636700648748842,0.9944392956441148,22.427615672919543
1,Car-free cities,4102,0.9960994636762556,0.9985372988785958,0.9998915989417584,0.0063383715260848,0.5497076023391813,0.99317738791423,44.63918613370743
2,Does the electoral college work?,3440,0.9947674418604652,0.9994186046511628,0.9999844510546242,0.0098837209302325,0.55,0.9895348837209302,44.47674418604651
3,Seeking multiple opinions,3104,0.9600515463917526,0.9916237113402062,0.9968431156339672,0.071520618556701,0.7190721649484536,0.981958762886598,24.097938144329902
4,Mandatory extracurricular activities,2812,0.9836415362731152,0.9943100995732574,0.9981859901377758,0.027027027027027,0.7425320056899004,0.9900426742532006,24.11095305832148
5,Summer projects,1902,0.9779179810725552,0.9926393270241852,0.9980871317037464,0.0368033648790746,0.8466386554621849,0.9915966386554622,13.127932561037037
6,Facial action coding system,1834,0.9923664122137404,0.9890948745910578,0.9996693975066864,0.0043620501635768,0.5577342047930284,0.9847494553376906,43.46322074207121
7,Community service,1100,0.9863636363636364,0.9945454545454544,0.9996595041322316,0.0218181818181818,0.6472727272727272,0.9854545454545456,33.90909090909092
8,"""A Cowboy Who Rode the Waves""",1046,0.9646271510516252,0.9980879541108988,0.9995722574206024,0.0688336520076481,0.6259541984732825,0.9961832061068704,33.86729525783427
9,Grades for extracurricular activities,980,0.9918367346938776,0.9918367346938776,0.9993794252394836,0.0081632653061224,0.6693877551020408,0.9959183673469388,32.244897959183675
10,Cell phones at school,926,0.9946004319654428,0.9956803455723542,0.9997480979059472,0.0064794816414686,0.6206896551724138,0.9956896551724138,37.391077679302896
11,Phones and driving,830,0.9867469879518072,0.9903614457831326,0.9997038757439396,0.016867469879518,0.6442307692307693,0.9759615384615384,34.25162187210379
12,Driverless cars,728,0.9958791208791208,0.9972527472527472,0.9998792416374834,0.0054945054945054,0.5,0.989010989010989,49.58791208791208
13,Exploring Venus,628,0.9347133757961784,1.0,0.9998478640107104,0.1305732484076433,0.5286624203821656,0.9872611464968152,40.60509554140128
14,The Face on Mars,620,0.9693548387096774,0.964516129032258,0.997044745057232,0.0258064516129032,0.6580645161290323,0.9806451612903224,31.129032258064516
