corpus,baseline,accuracy,recall,roc_auc,n_test
gpt-35,length_only,0.7157693938109368,0.8126324713861806,0.7672617797217947,4718
gpt-35,tfidf,0.8895718524798644,0.9135226791013141,0.955721425130205,4718
claude,length_only,0.8434197886647454,0.8635926993275697,0.9436992989634403,2082
claude,tfidf,0.9221902017291066,0.8799231508165226,0.9815443843714157,2082
llama,length_only,0.8685127452778287,0.9079236977256053,0.9654488376203726,5453
llama,tfidf,0.9325142123601687,0.9222303741746148,0.9836924631568074,5453
