grade,n_flagged,n_passed,markers_flagged,markers_passed,difference
2,30,2284,2.5195469114406555,1.2222030944808726,1.2973438169597828
3,56,3749,3.0694554228055244,1.6642828693654266,1.4051725534400978
4,129,3717,3.4471846494930842,2.3687791076445466,1.0784055418485377
5,93,2073,4.830712108230961,3.062545838052437,1.7681662701785243
6,33,604,4.598959173883459,3.9397090344780845,0.6592501394053749
