model,fold,held_out_topic,n_test,accuracy,recall,roc_auc,fpr,fnr,tfidf,length,margin_tfidf,margin_length
deberta-v3,0,Distance learning,4314,0.9879462216040796,0.9870190078813168,0.9984699039192512,0.0111265646731571,0.0129809921186833,0.9944392956441148,0.7636700648748842,-0.006493074040035185,0.22427615672919543
deberta-v3,1,Car-free cities,4102,0.9960994636762556,0.9985372988785958,0.9998915989417584,0.0063383715260848,0.0014627011214041,0.99317738791423,0.5497076023391813,0.002922075762025522,0.4463918613370743
deberta-v3,2,Does the electoral college work?,3440,0.9947674418604652,0.9994186046511628,0.9999844510546242,0.0098837209302325,0.0005813953488372,0.9895348837209302,0.55,0.005232558139534937,0.44476744186046513
deberta-v3,3,Seeking multiple opinions,3104,0.9600515463917526,0.9916237113402062,0.9968431156339672,0.071520618556701,0.0083762886597938,0.981958762886598,0.7190721649484536,-0.021907216494845394,0.240979381443299
deberta-v3,4,Mandatory extracurricular activities,2812,0.9836415362731152,0.9943100995732574,0.9981859901377758,0.027027027027027,0.0056899004267425,0.9900426742532006,0.7425320056899004,-0.006401137980085347,0.24110953058321483
deberta-v3,5,Summer projects,1902,0.9779179810725552,0.9926393270241852,0.9980871317037464,0.0368033648790746,0.0073606729758149,0.9915966386554622,0.8466386554621849,-0.013678657582906983,0.13127932561037037
deberta-v3,6,Facial action coding system,1834,0.9923664122137404,0.9890948745910578,0.9996693975066864,0.0043620501635768,0.0109051254089422,0.9847494553376906,0.5577342047930284,0.007616956876049796,0.43463220742071207
deberta-v3,7,Community service,1100,0.9863636363636364,0.9945454545454544,0.9996595041322316,0.0218181818181818,0.0054545454545454,0.9854545454545456,0.6472727272727272,0.0009090909090908594,0.3390909090909092
deberta-v3,8,"""A Cowboy Who Rode the Waves""",1046,0.9646271510516252,0.9980879541108988,0.9995722574206024,0.0688336520076481,0.0019120458891013,0.9961832061068704,0.6259541984732825,-0.03155605505524517,0.33867295257834273
deberta-v3,9,Grades for extracurricular activities,980,0.9918367346938776,0.9918367346938776,0.9993794252394836,0.0081632653061224,0.0081632653061224,0.9959183673469388,0.6693877551020408,-0.004081632653061273,0.3224489795918367
deberta-v3,10,Cell phones at school,926,0.9946004319654428,0.9956803455723542,0.9997480979059472,0.0064794816414686,0.0043196544276457,0.9956896551724138,0.6206896551724138,-0.001089223206971024,0.373910776793029
deberta-v3,11,Phones and driving,830,0.9867469879518072,0.9903614457831326,0.9997038757439396,0.016867469879518,0.0096385542168674,0.9759615384615384,0.6442307692307693,0.010785449490268717,0.3425162187210379
deberta-v3,12,Driverless cars,728,0.9958791208791208,0.9972527472527472,0.9998792416374834,0.0054945054945054,0.0027472527472527,0.989010989010989,0.5,0.006868131868131733,0.4958791208791208
deberta-v3,13,Exploring Venus,628,0.9347133757961784,1.0,0.9998478640107104,0.1305732484076433,0.0,0.9872611464968152,0.5286624203821656,-0.052547770700636764,0.4060509554140128
deberta-v3,14,The Face on Mars,620,0.9693548387096774,0.964516129032258,0.997044745057232,0.0258064516129032,0.0354838709677419,0.9806451612903224,0.6580645161290323,-0.011290322580644996,0.31129032258064515
roberta,0,Distance learning,4314,0.9663885025498378,1.0,0.9979994192555682,0.0672229949003245,0.0,0.9944392956441148,0.7636700648748842,-0.02805079309427705,0.20271843767495357
roberta,1,Car-free cities,4102,0.9958556801560214,0.9936616284739151,0.9998963533741372,0.0019502681618722,0.0063383715260848,0.99317738791423,0.5497076023391813,0.0026782922417913912,0.4461480778168402
roberta,2,Does the electoral college work?,3440,0.9005813953488372,0.8017441860465117,0.998540765278529,0.0005813953488372,0.1982558139534883,0.9895348837209302,0.55,-0.08895348837209305,0.35058139534883714
roberta,3,Seeking multiple opinions,3104,0.9816365979381444,0.9974226804123713,0.999656246678712,0.0341494845360824,0.0025773195876288,0.981958762886598,0.7190721649484536,-0.0003221649484536071,0.2625644329896908
roberta,4,Mandatory extracurricular activities,2812,0.9811522048364154,1.0,0.9967903255505262,0.0376955903271692,0.0,0.9900426742532006,0.7425320056899004,-0.008890469416785174,0.238620199146515
roberta,5,Summer projects,1902,0.9721345951629864,0.9926393270241852,0.9976857610727984,0.0483701366982124,0.0073606729758149,0.9915966386554622,0.8466386554621849,-0.019462043492475822,0.12549593970080153
roberta,6,Facial action coding system,1834,0.9983642311886588,0.9967284623773174,0.9999429175551112,0.0,0.0032715376226826,0.9847494553376906,0.5577342047930284,0.013614775850968153,0.4406300263956304
roberta,7,Community service,1100,0.9981818181818182,1.0,1.0,0.0036363636363636,0.0,0.9854545454545456,0.6472727272727272,0.012727272727272587,0.35090909090909095
roberta,8,"""A Cowboy Who Rode the Waves""",1046,0.9847036328871892,0.9961759082217974,0.9996892468440276,0.0267686424474187,0.0038240917782026,0.9961832061068704,0.6259541984732825,-0.011479573219681183,0.3587494344139067
roberta,9,Grades for extracurricular activities,980,0.9908163265306122,0.9816326530612244,0.9999416909620992,0.0,0.0183673469387755,0.9959183673469388,0.6693877551020408,-0.005102040816326592,0.3214285714285714
roberta,10,Cell phones at school,926,0.9935205183585312,0.9935205183585312,0.9998973732209416,0.0064794816414686,0.0064794816414686,0.9956896551724138,0.6206896551724138,-0.002169136813882644,0.37283086318611736
roberta,11,Phones and driving,830,0.9771084337349396,0.9566265060240964,0.9993903324139932,0.0024096385542168,0.0433734939759036,0.9759615384615384,0.6442307692307693,0.0011468952734011717,0.33287766450417033
roberta,12,Driverless cars,728,0.9945054945054944,1.0,0.9999698104093708,0.0109890109890109,0.0,0.989010989010989,0.5,0.005494505494505364,0.4945054945054944
roberta,13,Exploring Venus,628,0.998407643312102,0.9968152866242038,0.999989857600714,0.0,0.0031847133757961,0.9872611464968152,0.5286624203821656,0.011146496815286788,0.46974522292993637
roberta,14,The Face on Mars,620,0.9935483870967742,0.9967741935483873,0.9999375650364204,0.0096774193548387,0.0032258064516129,0.9806451612903224,0.6580645161290323,0.012903225806451757,0.3354838709677419
